,Contig,Len,sum of seq lens in model,Coverage,Genome
31,5235_5_12.contig00032,25981,25992.0,1.0,5235_5_12
32,5235_5_12.contig00033,25936,25945.0,1.0,5235_5_12
33,5235_5_12.contig00034,25861,25893.0,1.0,5235_5_12
34,5235_5_12.contig00035,25728,25744.0,1.0,5235_5_12
35,5235_5_12.contig00036,25560,25569.0,1.0,5235_5_12
36,5235_5_12.contig00037,24837,24852.0,1.0,5235_5_12
37,5235_5_12.contig00038,24745,24762.0,1.0,5235_5_12
38,5235_5_12.contig00039,24630,24641.0,1.0,5235_5_12
39,5235_5_12.contig00040,24407,24410.0,1.0,5235_5_12
40,5235_5_12.contig00041,23843,23850.0,1.0,5235_5_12
41,5235_5_12.contig00042,23483,23500.0,1.0,5235_5_12
42,5235_5_12.contig00043,23383,23386.0,1.0,5235_5_12
43,5235_5_12.contig00044,23309,23321.0,1.0,5235_5_12
44,5235_5_12.contig00045,23298,23314.0,1.0,5235_5_12
45,5235_5_12.contig00046,23036,23048.0,1.0,5235_5_12
46,5235_5_12.contig00047,23014,23030.0,1.0,5235_5_12
47,5235_5_12.contig00048,22992,23006.0,1.0,5235_5_12
48,5235_5_12.contig00049,22778,22795.0,1.0,5235_5_12
49,5235_5_12.contig00050,22270,22276.0,1.0,5235_5_12
50,5235_5_12.contig00051,22038,22045.0,1.0,5235_5_12
51,5235_5_12.contig00052,21540,21551.0,1.0,5235_5_12
52,5235_5_12.contig00053,21362,21378.0,1.0,5235_5_12
53,5235_5_12.contig00054,21266,21279.0,1.0,5235_5_12
54,5235_5_12.contig00055,20991,20995.0,1.0,5235_5_12
55,5235_5_12.contig00056,20926,20935.0,1.0,5235_5_12
56,5235_5_12.contig00057,20875,20892.0,1.0,5235_5_12
57,5235_5_12.contig00058,20831,20849.0,1.0,5235_5_12
58,5235_5_12.contig00059,20094,20110.0,1.0,5235_5_12
59,5235_5_12.contig00060,20029,20041.0,1.0,5235_5_12
60,5235_5_12.contig00061,19988,20001.0,1.0,5235_5_12
61,5235_5_12.contig00062,19909,19916.0,1.0,5235_5_12
62,5235_5_12.contig00063,19831,19842.0,1.0,5235_5_12
63,5235_5_12.contig00064,19771,19780.0,1.0,5235_5_12
64,5235_5_12.contig00065,19491,19509.0,1.0,5235_5_12
65,5235_5_12.contig00066,19465,19471.0,1.0,5235_5_12
66,5235_5_12.contig00067,19182,19202.0,1.0,5235_5_12
67,5235_5_12.contig00068,19005,19012.0,1.0,5235_5_12
68,5235_5_12.contig00069,18839,18859.0,1.0,5235_5_12
69,5235_5_12.contig00070,18761,18767.0,1.0,5235_5_12
70,5235_5_12.contig00071,18618,18633.0,1.0,5235_5_12
71,5235_5_12.contig00072,18571,18584.0,1.0,5235_5_12
72,5235_5_12.contig00073,18516,18523.0,1.0,5235_5_12
73,5235_5_12.contig00074,18495,18503.0,1.0,5235_5_12
74,5235_5_12.contig00075,18337,18351.0,1.0,5235_5_12
75,5235_5_12.contig00076,18310,18324.0,1.0,5235_5_12
76,5235_5_12.contig00077,18033,18037.0,1.0,5235_5_12
77,5235_5_12.contig00078,17852,17856.0,1.0,5235_5_12
78,5235_5_12.contig00079,17797,17803.0,1.0,5235_5_12
79,5235_5_12.contig00080,17502,17511.0,1.0,5235_5_12
80,5235_5_12.contig00081,17430,17435.0,1.0,5235_5_12
81,5235_5_12.contig00082,17410,17424.0,1.0,5235_5_12
82,5235_5_12.contig00083,17195,17217.0,1.0,5235_5_12
83,5235_5_12.contig00084,17189,17208.0,1.0,5235_5_12
84,5235_5_12.contig00085,17047,17054.0,1.0,5235_5_12
85,5235_5_12.contig00086,16879,16887.0,1.0,5235_5_12
86,5235_5_12.contig00087,16781,16795.0,1.0,5235_5_12
87,5235_5_12.contig00088,16645,16659.0,1.0,5235_5_12
88,5235_5_12.contig00089,16614,16624.0,1.0,5235_5_12
89,5235_5_12.contig00090,16614,16628.0,1.0,5235_5_12
90,5235_5_12.contig00091,16357,16363.0,1.0,5235_5_12
91,5235_5_12.contig00092,16294,16299.0,1.0,5235_5_12
92,5235_5_12.contig00093,16042,16048.0,1.0,5235_5_12
93,5235_5_12.contig00094,15981,15989.0,1.0,5235_5_12
94,5235_5_12.contig00095,15901,15910.0,1.0,5235_5_12
95,5235_5_12.contig00096,15894,15909.0,1.0,5235_5_12
96,5235_5_12.contig00097,15837,15847.0,1.0,5235_5_12
97,5235_5_12.contig00098,15780,15786.0,1.0,5235_5_12
98,5235_5_12.contig00099,15692,15696.0,1.0,5235_5_12
99,5235_5_12.contig00100,15651,15656.0,1.0,5235_5_12
100,5235_5_12.contig00101,15640,15644.0,1.0,5235_5_12
101,5235_5_12.contig00102,15633,15640.0,1.0,5235_5_12
102,5235_5_12.contig00103,15312,15329.0,1.0,5235_5_12
103,5235_5_12.contig00104,15226,15241.0,1.0,5235_5_12
104,5235_5_12.contig00105,15199,15202.0,1.0,5235_5_12
105,5235_5_12.contig00106,15192,15201.0,1.0,5235_5_12
106,5235_5_12.contig00107,14852,14862.0,1.0,5235_5_12
107,5235_5_12.contig00108,14839,14848.0,1.0,5235_5_12
108,5235_5_12.contig00109,14783,14795.0,1.0,5235_5_12
109,5235_5_12.contig00110,14656,14666.0,1.0,5235_5_12
110,5235_5_12.contig00111,14569,14575.0,1.0,5235_5_12
111,5235_5_12.contig00112,14565,14580.0,1.0,5235_5_12
112,5235_5_12.contig00113,14551,14566.0,1.0,5235_5_12
113,5235_5_12.contig00114,14475,14478.0,1.0,5235_5_12
114,5235_5_12.contig00115,14451,14463.0,1.0,5235_5_12
115,5235_5_12.contig00116,14429,14440.0,1.0,5235_5_12
116,5235_5_12.contig00117,14256,14263.0,1.0,5235_5_12
117,5235_5_12.contig00118,14087,14098.0,1.0,5235_5_12
118,5235_5_12.contig00119,14041,14048.0,1.0,5235_5_12
119,5235_5_12.contig00120,14038,14050.0,1.0,5235_5_12
120,5235_5_12.contig00121,14027,14033.0,1.0,5235_5_12
121,5235_5_12.contig00122,13962,13965.0,1.0,5235_5_12
122,5235_5_12.contig00123,13901,13915.0,1.0,5235_5_12
123,5235_5_12.contig00124,13863,13872.0,1.0,5235_5_12
124,5235_5_12.contig00125,13572,13579.0,1.0,5235_5_12
125,5235_5_12.contig00126,13527,13531.0,1.0,5235_5_12
126,5235_5_12.contig00127,13519,13526.0,1.0,5235_5_12
127,5235_5_12.contig00128,13496,13505.0,1.0,5235_5_12
128,5235_5_12.contig00129,13471,13478.0,1.0,5235_5_12
129,5235_5_12.contig00130,13167,13173.0,1.0,5235_5_12
130,5235_5_12.contig00131,13118,13123.0,1.0,5235_5_12
131,5235_5_12.contig00132,13093,13102.0,1.0,5235_5_12
132,5235_5_12.contig00133,13077,13083.0,1.0,5235_5_12
133,5235_5_12.contig00134,12995,12997.0,1.0,5235_5_12
134,5235_5_12.contig00135,12963,12973.0,1.0,5235_5_12
135,5235_5_12.contig00136,12901,12906.0,1.0,5235_5_12
136,5235_5_12.contig00137,12879,12881.0,1.0,5235_5_12
137,5235_5_12.contig00138,12737,12750.0,1.0,5235_5_12
138,5235_5_12.contig00139,12730,12733.0,1.0,5235_5_12
139,5235_5_12.contig00140,12719,12730.0,1.0,5235_5_12
140,5235_5_12.contig00141,12712,12722.0,1.0,5235_5_12
141,5235_5_12.contig00142,12710,12718.0,1.0,5235_5_12
142,5235_5_12.contig00143,12695,12707.0,1.0,5235_5_12
143,5235_5_12.contig00144,12687,12697.0,1.0,5235_5_12
144,5235_5_12.contig00145,12599,12604.0,1.0,5235_5_12
145,5235_5_12.contig00146,12596,12604.0,1.0,5235_5_12
146,5235_5_12.contig00147,12528,12543.0,1.0,5235_5_12
147,5235_5_12.contig00148,12505,12516.0,1.0,5235_5_12
148,5235_5_12.contig00149,12502,12506.0,1.0,5235_5_12
149,5235_5_12.contig00150,12396,12398.0,1.0,5235_5_12
150,5235_5_12.contig00151,12317,12323.0,1.0,5235_5_12
151,5235_5_12.contig00152,12259,12272.0,1.0,5235_5_12
152,5235_5_12.contig00153,12165,12168.0,1.0,5235_5_12
153,5235_5_12.contig00154,12157,12164.0,1.0,5235_5_12
154,5235_5_12.contig00155,12126,12134.0,1.0,5235_5_12
155,5235_5_12.contig00156,12126,12138.0,1.0,5235_5_12
156,5235_5_12.contig00157,12021,12028.0,1.0,5235_5_12
157,5235_5_12.contig00158,11977,11980.0,1.0,5235_5_12
158,5235_5_12.contig00159,11923,11930.0,1.0,5235_5_12
159,5235_5_12.contig00160,11912,11919.0,1.0,5235_5_12
160,5235_5_12.contig00161,11908,11920.0,1.0,5235_5_12
161,5235_5_12.contig00162,11860,11866.0,1.0,5235_5_12
162,5235_5_12.contig00163,11788,11797.0,1.0,5235_5_12
163,5235_5_12.contig00164,11753,11761.0,1.0,5235_5_12
164,5235_5_12.contig00165,11657,11660.0,1.0,5235_5_12
165,5235_5_12.contig00166,11572,11574.0,1.0,5235_5_12
166,5235_5_12.contig00167,11515,11525.0,1.0,5235_5_12
167,5235_5_12.contig00168,11378,11385.0,1.0,5235_5_12
168,5235_5_12.contig00169,11262,11266.0,1.0,5235_5_12
169,5235_5_12.contig00170,11228,11233.0,1.0,5235_5_12
170,5235_5_12.contig00171,11182,11195.0,1.0,5235_5_12
171,5235_5_12.contig00172,11138,11148.0,1.0,5235_5_12
172,5235_5_12.contig00173,11067,11069.0,1.0,5235_5_12
173,5235_5_12.contig00174,10954,10961.0,1.0,5235_5_12
174,5235_5_12.contig00175,10735,10740.0,1.0,5235_5_12
175,5235_5_12.contig00176,10735,10744.0,1.0,5235_5_12
176,5235_5_12.contig00177,10633,10642.0,1.0,5235_5_12
177,5235_5_12.contig00178,10630,10637.0,1.0,5235_5_12
178,5235_5_12.contig00179,10588,10591.0,1.0,5235_5_12
179,5235_5_12.contig00180,10517,10524.0,1.0,5235_5_12
180,5235_5_12.contig00181,10495,10500.0,1.0,5235_5_12
181,5235_5_12.contig00182,10465,10468.0,1.0,5235_5_12
182,5235_5_12.contig00183,10402,10410.0,1.0,5235_5_12
183,5235_5_12.contig00184,10394,10397.0,1.0,5235_5_12
184,5235_5_12.contig00185,10350,10358.0,1.0,5235_5_12
185,5235_5_12.contig00186,10350,10359.0,1.0,5235_5_12
186,5235_5_12.contig00187,10332,10337.0,1.0,5235_5_12
187,5235_5_12.contig00188,10312,10321.0,1.0,5235_5_12
188,5235_5_12.contig00189,10264,10270.0,1.0,5235_5_12
189,5235_5_12.contig00190,10250,10259.0,1.0,5235_5_12
190,5235_5_12.contig00191,10227,10231.0,1.0,5235_5_12
191,5235_5_12.contig00192,10183,10188.0,1.0,5235_5_12
192,5235_5_12.contig00193,10136,10137.0,1.0,5235_5_12
193,5235_5_12.contig00194,10035,10043.0,1.0,5235_5_12
194,5235_5_12.contig00195,10015,10018.0,1.0,5235_5_12
195,5235_5_12.contig00196,9843,9847.0,1.0,5235_5_12
196,5235_5_12.contig00197,9784,9789.0,1.0,5235_5_12
197,5235_5_12.contig00198,9779,9783.0,1.0,5235_5_12
198,5235_5_12.contig00199,9778,9783.0,1.0,5235_5_12
199,5235_5_12.contig00200,9772,9782.0,1.0,5235_5_12
200,5235_5_12.contig00201,9772,9779.0,1.0,5235_5_12
201,5235_5_12.contig00202,9713,9718.0,1.0,5235_5_12
202,5235_5_12.contig00203,9677,9680.0,1.0,5235_5_12
203,5235_5_12.contig00204,9677,9679.0,1.0,5235_5_12
204,5235_5_12.contig00205,9639,9643.0,1.0,5235_5_12
205,5235_5_12.contig00206,9622,9635.0,1.0,5235_5_12
206,5235_5_12.contig00207,9568,9571.0,1.0,5235_5_12
207,5235_5_12.contig00208,9454,9459.0,1.0,5235_5_12
208,5235_5_12.contig00209,9453,9464.0,1.0,5235_5_12
209,5235_5_12.contig00210,9408,9417.0,1.0,5235_5_12
210,5235_5_12.contig00211,9362,9363.0,1.0,5235_5_12
211,5235_5_12.contig00212,9345,9346.0,1.0,5235_5_12
212,5235_5_12.contig00213,9330,9333.0,1.0,5235_5_12
213,5235_5_12.contig00214,9295,9296.0,1.0,5235_5_12
214,5235_5_12.contig00215,9240,9248.0,1.0,5235_5_12
215,5235_5_12.contig00216,9213,9218.0,1.0,5235_5_12
216,5235_5_12.contig00217,9156,9163.0,1.0,5235_5_12
217,5235_5_12.contig00218,9122,9124.0,1.0,5235_5_12
218,5235_5_12.contig00219,9058,9067.0,1.0,5235_5_12
219,5235_5_12.contig00220,9015,9021.0,1.0,5235_5_12
220,5235_5_12.contig00221,8994,8999.0,1.0,5235_5_12
221,5235_5_12.contig00222,8985,8991.0,1.0,5235_5_12
222,5235_5_12.contig00223,8932,8934.0,1.0,5235_5_12
223,5235_5_12.contig00224,8930,8936.0,1.0,5235_5_12
224,5235_5_12.contig00225,8926,8929.0,1.0,5235_5_12
225,5235_5_12.contig00226,8916,8924.0,1.0,5235_5_12
226,5235_5_12.contig00227,8879,8882.0,1.0,5235_5_12
227,5235_5_12.contig00228,8875,8879.0,1.0,5235_5_12
228,5235_5_12.contig00229,8732,8741.0,1.0,5235_5_12
229,5235_5_12.contig00230,8704,8706.0,1.0,5235_5_12
230,5235_5_12.contig00231,8671,8675.0,1.0,5235_5_12
231,5235_5_12.contig00232,8667,8678.0,1.0,5235_5_12
232,5235_5_12.contig00233,8635,8636.0,1.0,5235_5_12
233,5235_5_12.contig00234,8622,8626.0,1.0,5235_5_12
234,5235_5_12.contig00235,8614,8617.0,1.0,5235_5_12
235,5235_5_12.contig00236,8609,8617.0,1.0,5235_5_12
236,5235_5_12.contig00237,8604,8606.0,1.0,5235_5_12
237,5235_5_12.contig00238,8576,8579.0,1.0,5235_5_12
238,5235_5_12.contig00239,8560,8563.0,1.0,5235_5_12
239,5235_5_12.contig00240,8541,8542.0,1.0,5235_5_12
240,5235_5_12.contig00241,8526,8529.0,1.0,5235_5_12
241,5235_5_12.contig00242,8456,8458.0,1.0,5235_5_12
242,5235_5_12.contig00243,8449,8458.0,1.0,5235_5_12
243,5235_5_12.contig00244,8358,8360.0,1.0,5235_5_12
244,5235_5_12.contig00245,8333,8340.0,1.0,5235_5_12
245,5235_5_12.contig00246,8285,8286.0,1.0,5235_5_12
246,5235_5_12.contig00247,8280,8284.0,1.0,5235_5_12
247,5235_5_12.contig00248,8266,8271.0,1.0,5235_5_12
248,5235_5_12.contig00249,8235,8246.0,1.0,5235_5_12
249,5235_5_12.contig00250,8234,8236.0,1.0,5235_5_12
250,5235_5_12.contig00251,8184,8187.0,1.0,5235_5_12
251,5235_5_12.contig00252,8182,8189.0,1.0,5235_5_12
252,5235_5_12.contig00253,8119,8130.0,1.0,5235_5_12
253,5235_5_12.contig00254,8006,8014.0,1.0,5235_5_12
254,5235_5_12.contig00255,7993,7994.0,1.0,5235_5_12
255,5235_5_12.contig00256,7992,7995.0,1.0,5235_5_12
256,5235_5_12.contig00257,7862,7865.0,1.0,5235_5_12
257,5235_5_12.contig00258,7836,7840.0,1.0,5235_5_12
258,5235_5_12.contig00259,7827,7828.0,1.0,5235_5_12
259,5235_5_12.contig00260,7812,7817.0,1.0,5235_5_12
260,5235_5_12.contig00261,7774,7776.0,1.0,5235_5_12
261,5235_5_12.contig00262,7723,7726.0,1.0,5235_5_12
262,5235_5_12.contig00263,7719,7720.0,1.0,5235_5_12
263,5235_5_12.contig00264,7679,7683.0,1.0,5235_5_12
264,5235_5_12.contig00265,7648,7655.0,1.0,5235_5_12
265,5235_5_12.contig00266,7554,7558.0,1.0,5235_5_12
266,5235_5_12.contig00267,7514,7515.0,1.0,5235_5_12
267,5235_5_12.contig00268,7436,7441.0,1.0,5235_5_12
268,5235_5_12.contig00269,7403,7409.0,1.0,5235_5_12
269,5235_5_12.contig00270,7375,7384.0,1.0,5235_5_12
270,5235_5_12.contig00271,7295,7300.0,1.0,5235_5_12
271,5235_5_12.contig00272,7292,7301.0,1.0,5235_5_12
272,5235_5_12.contig00273,7232,7235.0,1.0,5235_5_12
273,5235_5_12.contig00274,7178,7180.0,1.0,5235_5_12
274,5235_5_12.contig00275,7144,7145.0,1.0,5235_5_12
275,5235_5_12.contig00276,7129,7133.0,1.0,5235_5_12
276,5235_5_12.contig00277,7059,7063.0,1.0,5235_5_12
277,5235_5_12.contig00278,6962,6972.0,1.0,5235_5_12
278,5235_5_12.contig00279,6923,6925.0,1.0,5235_5_12
279,5235_5_12.contig00280,6906,6914.0,1.0,5235_5_12
280,5235_5_12.contig00281,6889,6890.0,1.0,5235_5_12
281,5235_5_12.contig00282,6872,6877.0,1.0,5235_5_12
282,5235_5_12.contig00283,6854,6858.0,1.0,5235_5_12
283,5235_5_12.contig00284,6852,6855.0,1.0,5235_5_12
284,5235_5_12.contig00285,6841,6844.0,1.0,5235_5_12
285,5235_5_12.contig00286,6834,6838.0,1.0,5235_5_12
286,5235_5_12.contig00287,6819,6823.0,1.0,5235_5_12
287,5235_5_12.contig00288,6764,6769.0,1.0,5235_5_12
288,5235_5_12.contig00289,6757,6758.0,1.0,5235_5_12
289,5235_5_12.contig00290,6688,6692.0,1.0,5235_5_12
290,5235_5_12.contig00291,6677,6681.0,1.0,5235_5_12
291,5235_5_12.contig00292,6669,6674.0,1.0,5235_5_12
292,5235_5_12.contig00293,6660,6664.0,1.0,5235_5_12
293,5235_5_12.contig00294,6635,6639.0,1.0,5235_5_12
294,5235_5_12.contig00295,6591,6597.0,1.0,5235_5_12
295,5235_5_12.contig00296,6556,6558.0,1.0,5235_5_12
296,5235_5_12.contig00297,6520,6524.0,1.0,5235_5_12
297,5235_5_12.contig00298,6511,6513.0,1.0,5235_5_12
298,5235_5_12.contig00299,6467,6473.0,1.0,5235_5_12
299,5235_5_12.contig00300,6464,6468.0,1.0,5235_5_12
300,5235_5_12.contig00301,6441,6447.0,1.0,5235_5_12
301,5235_5_12.contig00302,6380,6386.0,1.0,5235_5_12
302,5235_5_12.contig00303,6376,6380.0,1.0,5235_5_12
303,5235_5_12.contig00304,6375,6377.0,1.0,5235_5_12
304,5235_5_12.contig00305,6345,6352.0,1.0,5235_5_12
305,5235_5_12.contig00306,6258,6268.0,1.0,5235_5_12
306,5235_5_12.contig00307,6228,6231.0,1.0,5235_5_12
307,5235_5_12.contig00308,6206,6207.0,1.0,5235_5_12
308,5235_5_12.contig00309,6200,6204.0,1.0,5235_5_12
309,5235_5_12.contig00310,6195,6198.0,1.0,5235_5_12
310,5235_5_12.contig00311,6147,6149.0,1.0,5235_5_12
311,5235_5_12.contig00312,6138,6142.0,1.0,5235_5_12
312,5235_5_12.contig00313,6124,6132.0,1.0,5235_5_12
313,5235_5_12.contig00314,6079,6085.0,1.0,5235_5_12
314,5235_5_12.contig00315,6026,6028.0,1.0,5235_5_12
315,5235_5_12.contig00316,5998,6000.0,1.0,5235_5_12
316,5235_5_12.contig00317,5961,5964.0,1.0,5235_5_12
317,5235_5_12.contig00318,5957,5959.0,1.0,5235_5_12
318,5235_5_12.contig00319,5941,5942.0,1.0,5235_5_12
319,5235_5_12.contig00320,5918,5919.0,1.0,5235_5_12
320,5235_5_12.contig00321,5900,5901.0,1.0,5235_5_12
321,5235_5_12.contig00322,5855,5857.0,1.0,5235_5_12
322,5235_5_12.contig00323,5843,5847.0,1.0,5235_5_12
323,5235_5_12.contig00324,5791,5795.0,1.0,5235_5_12
324,5235_5_12.contig00325,5709,5710.0,1.0,5235_5_12
325,5235_5_12.contig00326,5699,5704.0,1.0,5235_5_12
326,5235_5_12.contig00327,5668,5671.0,1.0,5235_5_12
327,5235_5_12.contig00328,5661,5667.0,1.0,5235_5_12
328,5235_5_12.contig00329,5658,5666.0,1.0,5235_5_12
329,5235_5_12.contig00330,5611,5613.0,1.0,5235_5_12
330,5235_5_12.contig00331,5541,5543.0,1.0,5235_5_12
331,5235_5_12.contig00332,5516,5517.0,1.0,5235_5_12
332,5235_5_12.contig00333,5515,5525.0,1.0,5235_5_12
333,5235_5_12.contig00334,5460,5462.0,1.0,5235_5_12
334,5235_5_12.contig00335,5457,5462.0,1.0,5235_5_12
335,5235_5_12.contig00336,5437,5439.0,1.0,5235_5_12
336,5235_5_12.contig00337,5434,5435.0,1.0,5235_5_12
337,5235_5_12.contig00338,5422,5430.0,1.0,5235_5_12
338,5235_5_12.contig00339,5383,5386.0,1.0,5235_5_12
339,5235_5_12.contig00340,5376,5379.0,1.0,5235_5_12
340,5235_5_12.contig00341,5373,5374.0,1.0,5235_5_12
341,5235_5_12.contig00342,5357,5360.0,1.0,5235_5_12
342,5235_5_12.contig00343,5340,5343.0,1.0,5235_5_12
343,5235_5_12.contig00344,5323,5326.0,1.0,5235_5_12
344,5235_5_12.contig00345,5317,5318.0,1.0,5235_5_12
345,5235_5_12.contig00346,5287,5293.0,1.0,5235_5_12
346,5235_5_12.contig00347,5219,5222.0,1.0,5235_5_12
347,5235_5_12.contig00348,5197,5198.0,1.0,5235_5_12
348,5235_5_12.contig00349,5165,5168.0,1.0,5235_5_12
349,5235_5_12.contig00350,5151,5154.0,1.0,5235_5_12
350,5235_5_12.contig00351,5116,5123.0,1.0,5235_5_12
351,5235_5_12.contig00352,5092,5093.0,1.0,5235_5_12
352,5235_5_12.contig00353,5083,5086.0,1.0,5235_5_12
353,5235_5_12.contig00354,5022,5027.0,1.0,5235_5_12
354,5235_5_12.contig00355,4984,4986.0,1.0,5235_5_12
355,5235_5_12.contig00356,4903,4904.0,1.0,5235_5_12
356,5235_5_12.contig00357,4881,4883.0,1.0,5235_5_12
357,5235_5_12.contig00358,4870,4871.0,1.0,5235_5_12
358,5235_5_12.contig00359,4866,4869.0,1.0,5235_5_12
359,5235_5_12.contig00360,4827,4828.0,1.0,5235_5_12
360,5235_5_12.contig00361,4820,4822.0,1.0,5235_5_12
361,5235_5_12.contig00362,4818,4819.0,1.0,5235_5_12
362,5235_5_12.contig00363,4810,4816.0,1.0,5235_5_12
363,5235_5_12.contig00364,4731,4734.0,1.0,5235_5_12
364,5235_5_12.contig00365,4697,4699.0,1.0,5235_5_12
365,5235_5_12.contig00366,4691,4692.0,1.0,5235_5_12
366,5235_5_12.contig00367,4678,4680.0,1.0,5235_5_12
367,5235_5_12.contig00368,4657,4660.0,1.0,5235_5_12
368,5235_5_12.contig00369,4648,4649.0,1.0,5235_5_12
369,5235_5_12.contig00370,4589,4591.0,1.0,5235_5_12
370,5235_5_12.contig00371,4577,4578.0,1.0,5235_5_12
371,5235_5_12.contig00372,4565,4569.0,1.0,5235_5_12
372,5235_5_12.contig00373,4564,4567.0,1.0,5235_5_12
373,5235_5_12.contig00374,4544,4545.0,1.0,5235_5_12
374,5235_5_12.contig00375,4525,4528.0,1.0,5235_5_12
375,5235_5_12.contig00376,4525,4531.0,1.0,5235_5_12
376,5235_5_12.contig00377,4515,4517.0,1.0,5235_5_12
377,5235_5_12.contig00378,4512,4515.0,1.0,5235_5_12
378,5235_5_12.contig00379,4501,4506.0,1.0,5235_5_12
379,5235_5_12.contig00380,4470,4471.0,1.0,5235_5_12
380,5235_5_12.contig00381,4465,4468.0,1.0,5235_5_12
381,5235_5_12.contig00382,4449,4451.0,1.0,5235_5_12
382,5235_5_12.contig00383,4411,4417.0,1.0,5235_5_12
383,5235_5_12.contig00384,4396,4400.0,1.0,5235_5_12
384,5235_5_12.contig00385,4392,4394.0,1.0,5235_5_12
385,5235_5_12.contig00386,4361,4363.0,1.0,5235_5_12
386,5235_5_12.contig00387,4361,4363.0,1.0,5235_5_12
387,5235_5_12.contig00388,4343,4346.0,1.0,5235_5_12
388,5235_5_12.contig00389,4333,4337.0,1.0,5235_5_12
389,5235_5_12.contig00390,4274,4275.0,1.0,5235_5_12
390,5235_5_12.contig00391,4271,4272.0,1.0,5235_5_12
391,5235_5_12.contig00392,4268,4269.0,1.0,5235_5_12
392,5235_5_12.contig00393,4266,4270.0,1.0,5235_5_12
393,5235_5_12.contig00394,4250,4251.0,1.0,5235_5_12
394,5235_5_12.contig00395,4247,4249.0,1.0,5235_5_12
395,5235_5_12.contig00396,4229,4232.0,1.0,5235_5_12
396,5235_5_12.contig00397,4218,4220.0,1.0,5235_5_12
397,5235_5_12.contig00398,4216,4218.0,1.0,5235_5_12
398,5235_5_12.contig00399,4214,4216.0,1.0,5235_5_12
399,5235_5_12.contig00400,4193,4195.0,1.0,5235_5_12
400,5235_5_12.contig00401,4192,4200.0,1.0,5235_5_12
401,5235_5_12.contig00402,4141,4143.0,1.0,5235_5_12
402,5235_5_12.contig00403,4128,4131.0,1.0,5235_5_12
403,5235_5_12.contig00404,4124,4125.0,1.0,5235_5_12
404,5235_5_12.contig00405,4083,4085.0,1.0,5235_5_12
405,5235_5_12.contig00406,4074,4076.0,1.0,5235_5_12
406,5235_5_12.contig00407,4064,4069.0,1.0,5235_5_12
407,5235_5_12.contig00408,4062,4063.0,1.0,5235_5_12
408,5235_5_12.contig00409,4052,4053.0,1.0,5235_5_12
409,5235_5_12.contig00410,4048,4052.0,1.0,5235_5_12
410,5235_5_12.contig00411,4016,4018.0,1.0,5235_5_12
411,5235_5_12.contig00412,3977,3980.0,1.0,5235_5_12
412,5235_5_12.contig00413,3934,3935.0,1.0,5235_5_12
413,5235_5_12.contig00414,3919,3922.0,1.0,5235_5_12
414,5235_5_12.contig00415,3914,3922.0,1.0,5235_5_12
415,5235_5_12.contig00416,3906,3910.0,1.0,5235_5_12
416,5235_5_12.contig00417,3900,3903.0,1.0,5235_5_12
417,5235_5_12.contig00418,3890,3895.0,1.0,5235_5_12
418,5235_5_12.contig00419,3888,3892.0,1.0,5235_5_12
419,5235_5_12.contig00420,3866,3869.0,1.0,5235_5_12
420,5235_5_12.contig00421,3860,3866.0,1.0,5235_5_12
421,5235_5_12.contig00422,3818,3820.0,1.0,5235_5_12
