,genome,contig,contig length,no. of annotations on contig
90,5235_5_12,contig00091,16357,15
91,5235_5_12,contig00092,16294,12
92,5235_5_12,contig00093,16042,15
93,5235_5_12,contig00094,15981,13
94,5235_5_12,contig00095,15901,14
95,5235_5_12,contig00096,15894,18
96,5235_5_12,contig00097,15837,15
97,5235_5_12,contig00098,15780,16
98,5235_5_12,contig00099,15692,19
99,5235_5_12,contig00100,15651,14
100,5235_5_12,contig00101,15640,15
101,5235_5_12,contig00102,15633,15
102,5235_5_12,contig00103,15312,15
103,5235_5_12,contig00104,15226,9
104,5235_5_12,contig00105,15199,14
105,5235_5_12,contig00106,15192,20
106,5235_5_12,contig00107,14852,16
107,5235_5_12,contig00108,14839,14
108,5235_5_12,contig00109,14783,16
109,5235_5_12,contig00110,14656,14
110,5235_5_12,contig00111,14569,14
111,5235_5_12,contig00112,14565,15
112,5235_5_12,contig00113,14551,17
113,5235_5_12,contig00114,14475,14
114,5235_5_12,contig00115,14451,20
115,5235_5_12,contig00116,14429,16
116,5235_5_12,contig00117,14256,16
117,5235_5_12,contig00118,14087,16
118,5235_5_12,contig00119,14041,13
119,5235_5_12,contig00120,14038,11
120,5235_5_12,contig00121,14027,13
121,5235_5_12,contig00122,13962,12
122,5235_5_12,contig00123,13901,11
123,5235_5_12,contig00124,13863,13
124,5235_5_12,contig00125,13572,9
125,5235_5_12,contig00126,13527,12
126,5235_5_12,contig00127,13519,13
127,5235_5_12,contig00128,13496,15
128,5235_5_12,contig00129,13471,13
129,5235_5_12,contig00130,13167,14
130,5235_5_12,contig00131,13118,14
131,5235_5_12,contig00132,13093,12
132,5235_5_12,contig00133,13077,12
133,5235_5_12,contig00134,12995,14
134,5235_5_12,contig00135,12963,16
135,5235_5_12,contig00136,12901,9
136,5235_5_12,contig00137,12879,10
137,5235_5_12,contig00138,12737,10
138,5235_5_12,contig00139,12730,8
139,5235_5_12,contig00140,12719,12
140,5235_5_12,contig00141,12712,13
141,5235_5_12,contig00142,12710,13
142,5235_5_12,contig00143,12695,12
143,5235_5_12,contig00144,12687,11
144,5235_5_12,contig00145,12599,11
145,5235_5_12,contig00146,12596,10
146,5235_5_12,contig00147,12528,11
147,5235_5_12,contig00148,12505,10
148,5235_5_12,contig00149,12502,11
149,5235_5_12,contig00150,12396,12
150,5235_5_12,contig00151,12317,14
151,5235_5_12,contig00152,12259,12
152,5235_5_12,contig00153,12165,11
153,5235_5_12,contig00154,12157,13
154,5235_5_12,contig00155,12126,13
155,5235_5_12,contig00156,12126,13
156,5235_5_12,contig00157,12021,11
157,5235_5_12,contig00158,11977,9
158,5235_5_12,contig00159,11923,12
159,5235_5_12,contig00160,11912,12
160,5235_5_12,contig00161,11908,12
161,5235_5_12,contig00162,11860,11
162,5235_5_12,contig00163,11788,10
163,5235_5_12,contig00164,11753,10
164,5235_5_12,contig00165,11657,8
165,5235_5_12,contig00166,11572,13
166,5235_5_12,contig00167,11515,11
167,5235_5_12,contig00168,11378,13
168,5235_5_12,contig00169,11262,8
169,5235_5_12,contig00170,11228,12
170,5235_5_12,contig00171,11182,12
171,5235_5_12,contig00172,11138,9
172,5235_5_12,contig00173,11067,10
173,5235_5_12,contig00174,10954,10
174,5235_5_12,contig00175,10735,8
175,5235_5_12,contig00176,10735,8
176,5235_5_12,contig00177,10633,11
177,5235_5_12,contig00178,10630,12
178,5235_5_12,contig00179,10588,12
179,5235_5_12,contig00180,10517,10
180,5235_5_12,contig00181,10495,10
181,5235_5_12,contig00182,10465,13
182,5235_5_12,contig00183,10402,9
183,5235_5_12,contig00184,10394,12
184,5235_5_12,contig00185,10350,11
185,5235_5_12,contig00186,10350,11
186,5235_5_12,contig00187,10332,11
187,5235_5_12,contig00188,10312,11
188,5235_5_12,contig00189,10264,8
189,5235_5_12,contig00190,10250,6
190,5235_5_12,contig00191,10227,10
191,5235_5_12,contig00192,10183,13
192,5235_5_12,contig00193,10136,8
193,5235_5_12,contig00194,10035,11
194,5235_5_12,contig00195,10015,9
195,5235_5_12,contig00196,9843,10
196,5235_5_12,contig00197,9784,13
197,5235_5_12,contig00198,9779,9
198,5235_5_12,contig00199,9778,9
199,5235_5_12,contig00200,9772,7
200,5235_5_12,contig00201,9772,7
201,5235_5_12,contig00202,9713,12
202,5235_5_12,contig00203,9677,9
203,5235_5_12,contig00204,9677,9
204,5235_5_12,contig00205,9639,10
205,5235_5_12,contig00206,9622,7
206,5235_5_12,contig00207,9568,11
207,5235_5_12,contig00208,9454,8
208,5235_5_12,contig00209,9453,9
209,5235_5_12,contig00210,9408,10
210,5235_5_12,contig00211,9362,9
211,5235_5_12,contig00212,9345,13
212,5235_5_12,contig00213,9330,9
213,5235_5_12,contig00214,9295,8
214,5235_5_12,contig00215,9240,9
215,5235_5_12,contig00216,9213,9
216,5235_5_12,contig00217,9156,11
217,5235_5_12,contig00218,9122,11
218,5235_5_12,contig00219,9058,11
219,5235_5_12,contig00220,9015,7
220,5235_5_12,contig00221,8994,7
221,5235_5_12,contig00222,8985,8
222,5235_5_12,contig00223,8932,8
223,5235_5_12,contig00224,8930,9
224,5235_5_12,contig00225,8926,7
225,5235_5_12,contig00226,8916,12
226,5235_5_12,contig00227,8879,8
227,5235_5_12,contig00228,8875,7
228,5235_5_12,contig00229,8732,9
229,5235_5_12,contig00230,8704,13
230,5235_5_12,contig00231,8671,7
231,5235_5_12,contig00232,8667,8
232,5235_5_12,contig00233,8635,11
233,5235_5_12,contig00234,8622,8
234,5235_5_12,contig00235,8614,7
235,5235_5_12,contig00236,8609,9
236,5235_5_12,contig00237,8604,8
237,5235_5_12,contig00238,8576,9
238,5235_5_12,contig00239,8560,8
239,5235_5_12,contig00240,8541,8
240,5235_5_12,contig00241,8526,7
241,5235_5_12,contig00242,8456,6
242,5235_5_12,contig00243,8449,8
243,5235_5_12,contig00244,8358,6
244,5235_5_12,contig00245,8333,5
245,5235_5_12,contig00246,8285,4
246,5235_5_12,contig00247,8280,10
247,5235_5_12,contig00248,8266,7
248,5235_5_12,contig00249,8235,7
249,5235_5_12,contig00250,8234,9
250,5235_5_12,contig00251,8184,7
251,5235_5_12,contig00252,8182,7
252,5235_5_12,contig00253,8119,9
253,5235_5_12,contig00254,8006,5
254,5235_5_12,contig00255,7993,13
255,5235_5_12,contig00256,7992,8
256,5235_5_12,contig00257,7862,8
257,5235_5_12,contig00258,7836,6
258,5235_5_12,contig00259,7827,4
259,5235_5_12,contig00260,7812,10
260,5235_5_12,contig00261,7774,7
261,5235_5_12,contig00262,7723,8
262,5235_5_12,contig00263,7719,7
263,5235_5_12,contig00264,7679,4
264,5235_5_12,contig00265,7648,6
265,5235_5_12,contig00266,7554,6
266,5235_5_12,contig00267,7514,7
267,5235_5_12,contig00268,7436,6
268,5235_5_12,contig00269,7403,7
269,5235_5_12,contig00270,7375,7
270,5235_5_12,contig00271,7295,7
271,5235_5_12,contig00272,7292,8
272,5235_5_12,contig00273,7232,5
273,5235_5_12,contig00274,7178,8
274,5235_5_12,contig00275,7144,5
275,5235_5_12,contig00276,7129,6
276,5235_5_12,contig00277,7059,7
277,5235_5_12,contig00278,6962,6
278,5235_5_12,contig00279,6923,9
279,5235_5_12,contig00280,6906,9
280,5235_5_12,contig00281,6889,10
281,5235_5_12,contig00282,6872,4
282,5235_5_12,contig00283,6854,6
283,5235_5_12,contig00284,6852,9
284,5235_5_12,contig00285,6841,6
285,5235_5_12,contig00286,6834,4
286,5235_5_12,contig00287,6819,8
287,5235_5_12,contig00288,6764,8
288,5235_5_12,contig00289,6757,7
289,5235_5_12,contig00290,6688,9
290,5235_5_12,contig00291,6677,5
291,5235_5_12,contig00292,6669,8
292,5235_5_12,contig00293,6660,9
293,5235_5_12,contig00294,6635,7
294,5235_5_12,contig00295,6591,5
295,5235_5_12,contig00296,6556,6
296,5235_5_12,contig00297,6520,5
297,5235_5_12,contig00298,6511,8
298,5235_5_12,contig00299,6467,7
299,5235_5_12,contig00300,6464,6
300,5235_5_12,contig00301,6441,4
301,5235_5_12,contig00302,6380,6
302,5235_5_12,contig00303,6376,8
303,5235_5_12,contig00304,6375,7
304,5235_5_12,contig00305,6345,7
305,5235_5_12,contig00306,6258,7
306,5235_5_12,contig00307,6228,4
307,5235_5_12,contig00308,6206,8
308,5235_5_12,contig00309,6200,6
309,5235_5_12,contig00310,6195,5
310,5235_5_12,contig00311,6147,7
311,5235_5_12,contig00312,6138,6
312,5235_5_12,contig00313,6124,5
313,5235_5_12,contig00314,6079,7
314,5235_5_12,contig00315,6026,5
315,5235_5_12,contig00316,5998,6
316,5235_5_12,contig00317,5961,8
317,5235_5_12,contig00318,5957,5
318,5235_5_12,contig00319,5941,6
319,5235_5_12,contig00320,5918,4
320,5235_5_12,contig00321,5900,4
321,5235_5_12,contig00322,5855,6
322,5235_5_12,contig00323,5843,3
323,5235_5_12,contig00324,5791,4
324,5235_5_12,contig00325,5709,6
325,5235_5_12,contig00326,5699,3
326,5235_5_12,contig00327,5668,5
327,5235_5_12,contig00328,5661,8
328,5235_5_12,contig00329,5658,5
329,5235_5_12,contig00330,5611,8
330,5235_5_12,contig00331,5541,6
331,5235_5_12,contig00332,5516,4
332,5235_5_12,contig00333,5515,7
333,5235_5_12,contig00334,5460,6
334,5235_5_12,contig00335,5457,4
335,5235_5_12,contig00336,5437,7
336,5235_5_12,contig00337,5434,7
337,5235_5_12,contig00338,5422,4
338,5235_5_12,contig00339,5383,5
339,5235_5_12,contig00340,5376,3
340,5235_5_12,contig00341,5373,7
341,5235_5_12,contig00342,5357,6
342,5235_5_12,contig00343,5340,7
343,5235_5_12,contig00344,5323,5
344,5235_5_12,contig00345,5317,2
345,5235_5_12,contig00346,5287,6
346,5235_5_12,contig00347,5219,1
347,5235_5_12,contig00348,5197,5
348,5235_5_12,contig00349,5165,4
349,5235_5_12,contig00350,5151,4
350,5235_5_12,contig00351,5116,6
351,5235_5_12,contig00352,5092,6
352,5235_5_12,contig00353,5083,6
353,5235_5_12,contig00354,5022,7
354,5235_5_12,contig00355,4984,4
355,5235_5_12,contig00356,4903,5
356,5235_5_12,contig00357,4881,7
357,5235_5_12,contig00358,4870,3
358,5235_5_12,contig00359,4866,9
359,5235_5_12,contig00360,4827,4
360,5235_5_12,contig00361,4820,4
361,5235_5_12,contig00362,4818,8
362,5235_5_12,contig00363,4810,4
363,5235_5_12,contig00364,4731,3
364,5235_5_12,contig00365,4697,7
365,5235_5_12,contig00366,4691,6
366,5235_5_12,contig00367,4678,6
367,5235_5_12,contig00368,4657,6
368,5235_5_12,contig00369,4648,3
369,5235_5_12,contig00370,4589,4
370,5235_5_12,contig00371,4577,4
371,5235_5_12,contig00372,4565,5
372,5235_5_12,contig00373,4564,6
373,5235_5_12,contig00374,4544,4
374,5235_5_12,contig00375,4525,4
375,5235_5_12,contig00376,4525,3
376,5235_5_12,contig00377,4515,4
377,5235_5_12,contig00378,4512,5
378,5235_5_12,contig00379,4501,5
379,5235_5_12,contig00380,4470,6
380,5235_5_12,contig00381,4465,2
381,5235_5_12,contig00382,4449,2
382,5235_5_12,contig00383,4411,3
383,5235_5_12,contig00384,4396,4
384,5235_5_12,contig00385,4392,4
385,5235_5_12,contig00387,4361,6
386,5235_5_12,contig00386,4361,1
387,5235_5_12,contig00388,4343,7
388,5235_5_12,contig00389,4333,3
389,5235_5_12,contig00390,4274,3
390,5235_5_12,contig00391,4271,2
391,5235_5_12,contig00392,4268,5
392,5235_5_12,contig00393,4266,4
393,5235_5_12,contig00394,4250,5
394,5235_5_12,contig00395,4247,4
395,5235_5_12,contig00396,4229,5
396,5235_5_12,contig00397,4218,4
397,5235_5_12,contig00398,4216,4
398,5235_5_12,contig00399,4214,4
399,5235_5_12,contig00400,4193,1
400,5235_5_12,contig00401,4192,6
401,5235_5_12,contig00402,4141,7
402,5235_5_12,contig00403,4128,3
403,5235_5_12,contig00404,4124,3
404,5235_5_12,contig00405,4083,3
405,5235_5_12,contig00406,4074,3
406,5235_5_12,contig00407,4064,3
407,5235_5_12,contig00408,4062,1
408,5235_5_12,contig00409,4052,4
409,5235_5_12,contig00410,4048,3
410,5235_5_12,contig00411,4016,3
411,5235_5_12,contig00412,3977,4
412,5235_5_12,contig00413,3934,4
413,5235_5_12,contig00414,3919,3
414,5235_5_12,contig00415,3914,4
415,5235_5_12,contig00416,3906,2
416,5235_5_12,contig00417,3900,2
417,5235_5_12,contig00418,3890,3
418,5235_5_12,contig00419,3888,3
419,5235_5_12,contig00420,3866,4
420,5235_5_12,contig00421,3860,5
421,5235_5_12,contig00422,3818,4
422,5235_5_12,contig00423,3806,4
423,5235_5_12,contig00424,3796,5
424,5235_5_12,contig00425,3787,4
425,5235_5_12,contig00426,3773,4
426,5235_5_12,contig00427,3767,3
427,5235_5_12,contig00428,3752,4
428,5235_5_12,contig00429,3747,3
429,5235_5_12,contig00430,3732,3
430,5235_5_12,contig00431,3681,4
431,5235_5_12,contig00432,3672,4
432,5235_5_12,contig00433,3647,3
433,5235_5_12,contig00434,3645,4
434,5235_5_12,contig00435,3635,4
435,5235_5_12,contig00436,3599,4
436,5235_5_12,contig00437,3590,1
437,5235_5_12,contig00438,3583,5
438,5235_5_12,contig00439,3565,3
439,5235_5_12,contig00440,3536,6
440,5235_5_12,contig00441,3528,4
441,5235_5_12,contig00442,3516,4
442,5235_5_12,contig00443,3506,2
443,5235_5_12,contig00444,3500,2
444,5235_5_12,contig00445,3489,5
445,5235_5_12,contig00446,3436,3
446,5235_5_12,contig00447,3418,3
447,5235_5_12,contig00448,3362,3
448,5235_5_12,contig00449,3359,6
449,5235_5_12,contig00450,3356,4
450,5235_5_12,contig00451,3345,3
451,5235_5_12,contig00452,3345,2
452,5235_5_12,contig00453,3333,3
453,5235_5_12,contig00454,3303,3
454,5235_5_12,contig00455,3296,2
455,5235_5_12,contig00456,3256,1
456,5235_5_12,contig00457,3246,5
457,5235_5_12,contig00458,3242,2
458,5235_5_12,contig00459,3241,5
459,5235_5_12,contig00460,3240,3
460,5235_5_12,contig00461,3237,3
461,5235_5_12,contig00462,3237,2
462,5235_5_12,contig00463,3225,2
463,5235_5_12,contig00464,3224,2
464,5235_5_12,contig00465,3213,3
465,5235_5_12,contig00466,3195,1
466,5235_5_12,contig00467,3155,3
467,5235_5_12,contig00468,3131,3
468,5235_5_12,contig00469,3129,5
469,5235_5_12,contig00470,3124,2
470,5235_5_12,contig00471,3106,1
471,5235_5_12,contig00472,3095,3
472,5235_5_12,contig00473,3070,2
473,5235_5_12,contig00474,3068,4
474,5235_5_12,contig00475,3058,3
475,5235_5_12,contig00476,3056,3
476,5235_5_12,contig00477,3042,3
477,5235_5_12,contig00478,3036,5
478,5235_5_12,contig00479,3004,2
479,5235_5_12,contig00480,2972,2
480,5235_5_12,contig00481,2947,2
481,5235_5_12,contig00482,2946,3
482,5235_5_12,contig00483,2941,4
483,5235_5_12,contig00484,2940,3
484,5235_5_12,contig00485,2924,4
485,5235_5_12,contig00486,2906,3
486,5235_5_12,contig00487,2903,3
487,5235_5_12,contig00488,2870,2
488,5235_5_12,contig00489,2850,2
489,5235_5_12,contig00490,2838,2
490,5235_5_12,contig00491,2799,5
491,5235_5_12,contig00492,2787,3
492,5235_5_12,contig00493,2784,2
493,5235_5_12,contig00494,2782,2
494,5235_5_12,contig00495,2780,3
495,5235_5_12,contig00496,2779,4
496,5235_5_12,contig00497,2770,3
497,5235_5_12,contig00498,2754,4
498,5235_5_12,contig00499,2735,4
499,5235_5_12,contig00500,2729,4
500,5235_5_12,contig00501,2707,1
501,5235_5_12,contig00502,2695,1
502,5235_5_12,contig00503,2648,3
503,5235_5_12,contig00504,2627,1
504,5235_5_12,contig00505,2621,2
505,5235_5_12,contig00507,2616,3
506,5235_5_12,contig00506,2616,2
507,5235_5_12,contig00508,2599,3
508,5235_5_12,contig00509,2597,4
509,5235_5_12,contig00510,2595,1
510,5235_5_12,contig00511,2590,2
511,5235_5_12,contig00512,2560,3
512,5235_5_12,contig00513,2550,3
513,5235_5_12,contig00514,2546,3
514,5235_5_12,contig00515,2518,2
515,5235_5_12,contig00516,2517,3
516,5235_5_12,contig00517,2509,2
517,5235_5_12,contig00518,2485,2
518,5235_5_12,contig00519,2482,3
519,5235_5_12,contig00520,2480,1
520,5235_5_12,contig00521,2472,4
521,5235_5_12,contig00522,2464,2
522,5235_5_12,contig00523,2462,2
523,5235_5_12,contig00524,2453,1
524,5235_5_12,contig00525,2441,1
525,5235_5_12,contig00526,2439,2
526,5235_5_12,contig00528,2437,3
527,5235_5_12,contig00527,2437,2
528,5235_5_12,contig00530,2415,3
529,5235_5_12,contig00529,2415,1
530,5235_5_12,contig00531,2412,2
531,5235_5_12,contig00533,2381,3
532,5235_5_12,contig00532,2381,2
533,5235_5_12,contig00534,2375,1
534,5235_5_12,contig00535,2362,2
535,5235_5_12,contig00536,2362,2
536,5235_5_12,contig00537,2355,2
537,5235_5_12,contig00538,2354,3
538,5235_5_12,contig00539,2352,2
539,5235_5_12,contig00540,2341,3
540,5235_5_12,contig00541,2340,1
541,5235_5_12,contig00542,2316,2
542,5235_5_12,contig00543,2311,2
543,5235_5_12,contig00544,2302,3
544,5235_5_12,contig00545,2279,2
545,5235_5_12,contig00546,2275,2
546,5235_5_12,contig00547,2256,2
547,5235_5_12,contig00548,2243,3
548,5235_5_12,contig00549,2232,2
549,5235_5_12,contig00550,2231,3
550,5235_5_12,contig00551,2206,4
551,5235_5_12,contig00552,2186,2
552,5235_5_12,contig00553,2185,1
553,5235_5_12,contig00554,2179,2
554,5235_5_12,contig00555,2177,2
555,5235_5_12,contig00556,2171,2
556,5235_5_12,contig00557,2165,2
557,5235_5_12,contig00558,2157,3
558,5235_5_12,contig00559,2153,1
559,5235_5_12,contig00560,2149,3
560,5235_5_12,contig00561,2131,2
561,5235_5_12,contig00562,2125,2
562,5235_5_12,contig00563,2099,2
563,5235_5_12,contig00564,2099,2
564,5235_5_12,contig00565,2085,3
565,5235_5_12,contig00566,2083,2
566,5235_5_12,contig00567,2076,1
567,5235_5_12,contig00568,2068,1
568,5235_5_12,contig00569,2064,1
569,5235_5_12,contig00570,2052,2
570,5235_5_12,contig00571,2046,4
571,5235_5_12,contig00572,2040,2
572,5235_5_12,contig00573,2037,1
573,5235_5_12,contig00574,2021,3
574,5235_5_12,contig00575,2019,2
575,5235_5_12,contig00576,2017,2
576,5235_5_12,contig00577,2011,2
577,5235_5_12,contig00578,2005,3
578,5235_5_12,contig00579,1988,2
579,5235_5_12,contig00580,1987,3
580,5235_5_12,contig00581,1959,1
581,5235_5_12,contig00582,1946,1
582,5235_5_12,contig00583,1940,2
583,5235_5_12,contig00584,1937,0
584,5235_5_12,contig00585,1869,1
585,5235_5_12,contig00587,1855,2
586,5235_5_12,contig00586,1855,1
587,5235_5_12,contig00588,1850,2
588,5235_5_12,contig00589,1844,2
589,5235_5_12,contig00590,1831,1
590,5235_5_12,contig00591,1826,2
591,5235_5_12,contig00592,1825,1
592,5235_5_12,contig00593,1807,4
593,5235_5_12,contig00594,1798,1
594,5235_5_12,contig00595,1793,1
595,5235_5_12,contig00596,1779,3
596,5235_5_12,contig00597,1777,0
597,5235_5_12,contig00598,1767,2
598,5235_5_12,contig00599,1766,2
599,5235_5_12,contig00600,1764,1
600,5235_5_12,contig00601,1761,2
601,5235_5_12,contig00603,1758,2
602,5235_5_12,contig00602,1758,1
603,5235_5_12,contig00604,1748,2
604,5235_5_12,contig00605,1742,2
605,5235_5_12,contig00606,1730,2
606,5235_5_12,contig00607,1713,2
607,5235_5_12,contig00608,1712,1
608,5235_5_12,contig00609,1705,1
609,5235_5_12,contig00610,1696,2
610,5235_5_12,contig00611,1695,1
611,5235_5_12,contig00612,1681,2
612,5235_5_12,contig00613,1674,2
613,5235_5_12,contig00614,1673,1
614,5235_5_12,contig00615,1664,1
615,5235_5_12,contig00616,1655,0
616,5235_5_12,contig00617,1639,2
617,5235_5_12,contig00618,1633,2
618,5235_5_12,contig00619,1627,1
619,5235_5_12,contig00620,1623,2
620,5235_5_12,contig00621,1614,1
621,5235_5_12,contig00622,1612,2
622,5235_5_12,contig00623,1608,3
623,5235_5_12,contig00624,1600,1
624,5235_5_12,contig00625,1594,2
625,5235_5_12,contig00626,1592,2
626,5235_5_12,contig00627,1587,5
627,5235_5_12,contig00628,1582,2
628,5235_5_12,contig00629,1569,1
629,5235_5_12,contig00630,1569,1
630,5235_5_12,contig00631,1560,2
631,5235_5_12,contig00632,1549,2
632,5235_5_12,contig00633,1548,2
633,5235_5_12,contig00634,1541,1
634,5235_5_12,contig00635,1529,2
635,5235_5_12,contig00636,1524,1
636,5235_5_12,contig00637,1502,2
637,5235_5_12,contig00638,1501,1
638,5235_5_12,contig00639,1493,1
639,5235_5_12,contig00640,1488,1
640,5235_5_12,contig00641,1481,1
641,5235_5_12,contig00642,1464,2
642,5235_5_12,contig00643,1452,1
643,5235_5_12,contig00644,1451,3
644,5235_5_12,contig00645,1451,1
645,5235_5_12,contig00646,1445,2
646,5235_5_12,contig00647,1445,2
647,5235_5_12,contig00648,1442,2
648,5235_5_12,contig00649,1441,2
649,5235_5_12,contig00650,1431,2
650,5235_5_12,contig00651,1419,1
651,5235_5_12,contig00652,1410,2
652,5235_5_12,contig00653,1387,1
653,5235_5_12,contig00654,1381,2
654,5235_5_12,contig00655,1373,2
655,5235_5_12,contig00656,1372,1
656,5235_5_12,contig00657,1361,0
657,5235_5_12,contig00658,1357,1
658,5235_5_12,contig00659,1349,2
659,5235_5_12,contig00661,1329,2
660,5235_5_12,contig00660,1329,1
661,5235_5_12,contig00662,1328,1
662,5235_5_12,contig00663,1321,1
663,5235_5_12,contig00664,1310,2
664,5235_5_12,contig00665,1308,2
665,5235_5_12,contig00667,1306,2
666,5235_5_12,contig00666,1306,1
667,5235_5_12,contig00668,1305,1
668,5235_5_12,contig00669,1296,0
669,5235_5_12,contig00670,1296,0
670,5235_5_12,contig00671,1295,1
671,5235_5_12,contig00672,1294,2
672,5235_5_12,contig00673,1284,1
673,5235_5_12,contig00674,1284,1
674,5235_5_12,contig00675,1279,2
675,5235_5_12,contig00676,1274,3
676,5235_5_12,contig00677,1253,2
677,5235_5_12,contig00678,1249,1
678,5235_5_12,contig00679,1249,0
679,5235_5_12,contig00680,1242,2
680,5235_5_12,contig00681,1222,1
681,5235_5_12,contig00682,1222,1
682,5235_5_12,contig00683,1212,1
683,5235_5_12,contig00684,1192,0
684,5235_5_12,contig00685,1191,1
685,5235_5_12,contig00686,1188,2
686,5235_5_12,contig00687,1186,1
687,5235_5_12,contig00688,1181,3
688,5235_5_12,contig00689,1175,0
689,5235_5_12,contig00690,1172,1
690,5235_5_12,contig00691,1169,0
691,5235_5_12,contig00692,1165,1
692,5235_5_12,contig00693,1162,1
693,5235_5_12,contig00694,1158,2
694,5235_5_12,contig00695,1156,1
695,5235_5_12,contig00696,1156,1
696,5235_5_12,contig00697,1140,1
697,5235_5_12,contig00698,1140,1
698,5235_5_12,contig00699,1136,2
699,5235_5_12,contig00700,1134,1
700,5235_5_12,contig00701,1131,1
701,5235_5_12,contig00702,1119,1
702,5235_5_12,contig00703,1117,0
703,5235_5_12,contig00704,1106,1
704,5235_5_12,contig00705,1105,1
705,5235_5_12,contig00706,1104,1
706,5235_5_12,contig00707,1100,2
707,5235_5_12,contig00708,1096,1
708,5235_5_12,contig00709,1093,0
709,5235_5_12,contig00710,1083,0
710,5235_5_12,contig00711,1081,1
711,5235_5_12,contig00712,1056,1
712,5235_5_12,contig00713,1051,2
713,5235_5_12,contig00714,1044,2
714,5235_5_12,contig00715,1043,1
715,5235_5_12,contig00716,1037,1
716,5235_5_12,contig00717,1034,1
717,5235_5_12,contig00718,1028,0
718,5235_5_12,contig00719,1020,3
719,5235_5_12,contig00720,1019,1
720,5235_5_12,contig00721,1013,0
721,5235_5_12,contig00722,1007,1
722,5235_5_12,contig00723,1001,0
723,5235_5_12,contig00724,999,1
724,5235_5_12,contig00725,997,1
725,5235_5_12,contig00728,992,1
726,5235_5_12,contig00726,992,0
727,5235_5_12,contig00727,992,0
728,5235_5_12,contig00729,989,0
729,5235_5_12,contig00730,984,0
730,5235_5_12,contig00731,978,1
731,5235_5_12,contig00732,977,1
732,5235_5_12,contig00733,976,1
733,5235_5_12,contig00734,962,1
734,5235_5_12,contig00735,956,1
