,genome,contig,contig length,no. of annotations on contig
45,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_46_length_3027_cov_873.273217,3027,1
46,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_47_length_2759_cov_135.509985,2759,3
47,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_48_length_2303_cov_122.900801,2303,2
48,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_49_length_1716_cov_135.583384,1716,3
49,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_50_length_1696_cov_121.962218,1696,0
50,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_51_length_1513_cov_126.537723,1513,3
51,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_52_length_1333_cov_881.226917,1333,1
52,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_53_length_1301_cov_160.577047,1301,2
53,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_54_length_1253_cov_623.631886,1253,2
54,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_55_length_1190_cov_256.335683,1190,1
55,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_56_length_1127_cov_379.808769,1127,0
56,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_57_length_1095_cov_373.664423,1095,0
57,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_58_length_1058_cov_994.396810,1058,1
58,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_59_length_1017_cov_155.890852,1017,1
59,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_60_length_991_cov_242.805556,991,1
60,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_61_length_801_cov_250.534853,801,0
61,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_62_length_706_cov_865.857143,706,1
62,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_63_length_693_cov_373.357367,693,1
63,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_64_length_681_cov_728.051118,681,1
64,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_65_length_645_cov_483.118644,645,0
65,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_66_length_636_cov_273.373494,636,0
66,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_67_length_621_cov_349.494700,621,1
67,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_68_length_599_cov_122.384191,599,0
68,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_69_length_593_cov_123.646840,593,0
69,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_70_length_531_cov_248.542017,531,0
70,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_71_length_512_cov_242.781182,512,0
71,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_72_length_438_cov_497.704961,438,1
72,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_73_length_396_cov_246.214076,396,1
73,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_74_length_388_cov_384.006006,388,2
74,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_75_length_388_cov_256.303303,388,0
75,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_76_length_383_cov_119.667683,383,0
76,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_77_length_376_cov_129.819315,376,1
77,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_78_length_364_cov_380.381877,364,1
78,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_79_length_345_cov_244.837931,345,0
79,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_80_length_344_cov_120.110727,344,1
80,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_81_length_308_cov_187.197628,308,0
81,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_83_length_305_cov_250.260000,305,1
82,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_82_length_305_cov_255.316000,305,0
83,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_84_length_305_cov_128.660000,305,0
84,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_85_length_292_cov_121.164557,292,0
85,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_86_length_291_cov_258.122881,291,0
86,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_87_length_279_cov_255.633929,279,0
87,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_88_length_273_cov_124.376147,273,0
88,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_89_length_266_cov_124.545024,266,0
89,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_90_length_245_cov_128.373684,245,0
90,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_91_length_245_cov_122.584211,245,0
91,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_92_length_215_cov_128.181250,215,0
92,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_93_length_202_cov_508.823129,202,0
93,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_94_length_175_cov_251.200000,175,0
94,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_95_length_167_cov_114.839286,167,0
95,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_96_length_162_cov_126.635514,162,0
96,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_97_length_162_cov_115.065421,162,0
97,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_98_length_155_cov_241.910000,155,0
98,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_99_length_150_cov_227.084211,150,0
99,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_100_length_128_cov_111.465753,128,0
100,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_101_length_125_cov_470.228571,125,0
101,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_102_length_125_cov_108.428571,125,0
102,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_103_length_122_cov_108.402985,122,0
103,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_104_length_117_cov_328.725806,117,0
104,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_105_length_115_cov_231.000000,115,0
105,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_106_length_111_cov_488.964286,111,0
106,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_107_length_111_cov_354.321429,111,0
107,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_108_length_111_cov_116.000000,111,0
108,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_109_length_111_cov_105.500000,111,0
109,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_110_length_109_cov_112.462963,109,0
110,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_111_length_107_cov_127.442308,107,0
111,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_112_length_106_cov_128.274510,106,0
112,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_113_length_105_cov_621.840000,105,0
113,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_114_length_102_cov_382.425532,102,0
114,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_115_length_101_cov_100.239130,101,0
115,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_116_length_97_cov_361.428571,97,0
116,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_117_length_96_cov_136.487805,96,0
117,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_118_length_92_cov_228.540541,92,0
118,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_119_length_92_cov_124.945946,92,0
119,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_120_length_91_cov_550.555556,91,0
120,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_121_length_90_cov_632.657143,90,0
121,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_122_length_88_cov_137.666667,88,0
122,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_123_length_82_cov_243.296296,82,0
123,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_124_length_80_cov_218.720000,80,0
124,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_125_length_79_cov_526.333333,79,1
125,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_126_length_75_cov_143.450000,75,0
126,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_127_length_73_cov_829.388889,73,0
127,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_128_length_70_cov_227.400000,70,0
128,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_129_length_69_cov_833.714286,69,0
129,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_130_length_69_cov_441.214286,69,0
130,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_131_length_69_cov_149.571429,69,0
131,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_132_length_63_cov_419.500000,63,0
132,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_133_length_61_cov_355.000000,61,0
133,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_134_length_61_cov_122.333333,61,0
134,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_135_length_59_cov_557.750000,59,0
135,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_136_length_57_cov_602.500000,57,0
136,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_137_length_57_cov_422.500000,57,0
137,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_51,NODE_138_length_56_cov_643.000000,56,0
138,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_22,NODE_1_length_253505_cov_125.426601,253505,231
139,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_22,NODE_2_length_252425_cov_123.906364,252425,234
140,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_22,NODE_3_length_225300_cov_126.049178,225300,199
141,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_22,NODE_4_length_211138_cov_124.299134,211138,196
142,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_22,NODE_5_length_180168_cov_124.031003,180168,161
143,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_22,NODE_6_length_169140_cov_125.620232,169140,153
144,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_22,NODE_7_length_154556_cov_125.109294,154556,143
145,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_22,NODE_8_length_145095_cov_124.946760,145095,125
146,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_22,NODE_9_length_140768_cov_125.172592,140768,124
147,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_22,NODE_10_length_132112_cov_124.531611,132112,134
148,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_22,NODE_11_length_130447_cov_124.149434,130447,120
149,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_22,NODE_12_length_119587_cov_124.067371,119587,123
150,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_22,NODE_13_length_104690_cov_125.588589,104690,82
151,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_22,NODE_14_length_101859_cov_124.236926,101859,89
152,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_22,NODE_15_length_100949_cov_123.895683,100949,86
153,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_22,NODE_16_length_94871_cov_124.036207,94871,92
154,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_22,NODE_17_length_83540_cov_124.029311,83540,71
155,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_22,NODE_18_length_76175_cov_123.815633,76175,61
156,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_22,NODE_19_length_71706_cov_125.066405,71706,73
157,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_22,NODE_20_length_67380_cov_123.844159,67380,65
158,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_22,NODE_21_length_66550_cov_123.852350,66550,61
159,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_22,NODE_22_length_62824_cov_123.686183,62824,56
160,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_22,NODE_23_length_52272_cov_123.828102,52272,43
161,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_22,NODE_24_length_41941_cov_124.297761,41941,37
162,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_22,NODE_25_length_40318_cov_124.457939,40318,33
163,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_22,NODE_26_length_34135_cov_124.689935,34135,33
164,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_22,NODE_27_length_31251_cov_124.529876,31251,31
165,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_22,NODE_28_length_30909_cov_125.639755,30909,25
166,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_22,NODE_29_length_29804_cov_123.145081,29804,32
167,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_22,NODE_30_length_28233_cov_127.040528,28233,29
168,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_22,NODE_31_length_26637_cov_124.602287,26637,24
169,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_22,NODE_32_length_25481_cov_122.557736,25481,29
170,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_22,NODE_33_length_24965_cov_123.420755,24965,24
171,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_22,NODE_34_length_24540_cov_124.475148,24540,23
172,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_22,NODE_35_length_23530_cov_123.461299,23530,22
173,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_22,NODE_36_length_21699_cov_123.390870,21699,19
174,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_22,NODE_37_length_19719_cov_126.957740,19719,15
175,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_22,NODE_38_length_12586_cov_122.163754,12586,9
176,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_22,NODE_39_length_11750_cov_125.614964,11750,21
177,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_22,NODE_40_length_9700_cov_128.427268,9700,7
178,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_22,NODE_41_length_8747_cov_125.250230,8747,12
179,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_22,NODE_42_length_6614_cov_123.151547,6614,6
180,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_22,NODE_43_length_6417_cov_123.818768,6417,9
181,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_22,NODE_44_length_5496_cov_122.877228,5496,5
182,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_22,NODE_45_length_3075_cov_125.567881,3075,4
183,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_22,NODE_46_length_3027_cov_864.640646,3027,1
184,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_22,NODE_47_length_2759_cov_134.216346,2759,3
185,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_22,NODE_48_length_2303_cov_122.025356,2303,2
186,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_22,NODE_49_length_1979_cov_378.662682,1979,1
187,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_22,NODE_50_length_1750_cov_124.824189,1750,0
188,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_22,NODE_51_length_1577_cov_198.658344,1577,2
189,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_22,NODE_52_length_1333_cov_862.623631,1333,1
190,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_22,NODE_53_length_1306_cov_145.950440,1306,2
191,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_22,NODE_54_length_1253_cov_616.223706,1253,2
192,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_22,NODE_55_length_1190_cov_249.997357,1190,1
193,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_22,NODE_56_length_1095_cov_363.826923,1095,0
194,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_22,NODE_57_length_1032_cov_989.815763,1032,1
195,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_22,NODE_58_length_991_cov_245.898504,991,1
196,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_22,NODE_59_length_718_cov_721.248869,718,1
197,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_22,NODE_60_length_706_cov_877.101382,706,1
198,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_22,NODE_61_length_672_cov_328.495948,672,0
199,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_22,NODE_62_length_621_cov_351.151943,621,1
200,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_22,NODE_63_length_599_cov_128.113971,599,0
201,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_22,NODE_64_length_531_cov_241.560924,531,0
202,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_22,NODE_65_length_512_cov_247.422319,512,0
203,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_22,NODE_66_length_404_cov_499.957020,404,0
204,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_22,NODE_67_length_388_cov_401.942943,388,2
205,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_22,NODE_68_length_388_cov_236.939940,388,0
206,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_22,NODE_69_length_383_cov_124.804878,383,0
207,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_22,NODE_70_length_376_cov_118.024922,376,1
208,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_22,NODE_71_length_364_cov_363.420712,364,1
209,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_22,NODE_72_length_344_cov_118.435986,344,1
210,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_22,NODE_73_length_315_cov_119.680769,315,0
211,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_22,NODE_74_length_308_cov_186.154150,308,0
212,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_22,NODE_75_length_305_cov_252.384000,305,1
213,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_22,NODE_76_length_290_cov_235.787234,290,0
214,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_22,NODE_77_length_273_cov_122.389908,273,0
215,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_22,NODE_78_length_266_cov_118.843602,266,0
216,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_22,NODE_79_length_245_cov_121.594737,245,0
217,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_22,NODE_80_length_245_cov_121.457895,245,0
218,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_22,NODE_81_length_232_cov_122.423729,232,0
219,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_22,NODE_82_length_202_cov_505.925170,202,0
220,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_22,NODE_83_length_175_cov_243.941667,175,0
221,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_22,NODE_84_length_162_cov_130.934579,162,0
222,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_22,NODE_85_length_162_cov_117.000000,162,0
223,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_22,NODE_86_length_155_cov_247.150000,155,0
224,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_22,NODE_87_length_150_cov_236.315789,150,0
225,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_22,NODE_88_length_128_cov_95.465753,128,0
226,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_22,NODE_89_length_125_cov_484.671429,125,0
227,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_22,NODE_90_length_125_cov_119.914286,125,0
228,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_22,NODE_91_length_122_cov_110.447761,122,0
229,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_22,NODE_92_length_115_cov_239.233333,115,0
230,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_22,NODE_93_length_111_cov_491.035714,111,0
231,pan_sim_gr_1e-11_lr_1e-12_mu_1e-15_iso_22,NODE_94_length_111_cov_367.357143,111,0
